buy_threshold,sell_threshold,sl_atr_mult,tp_atr_mult,trades,win_rate,profit_factor,net_profit,final_balance
0.45,0.35,1.0,2.0,426,0.6384976525821596,2.2247293802976116,3256.93071428573,4256.930714285731
0.35,0.4,1.0,2.5,463,0.591792656587473,1.9755171352162606,3247.785714285726,4247.7857142857265
0.35,0.3,1.0,2.0,535,0.6018691588785047,1.8597455430294947,3245.5271428571514,4245.527142857151
0.4,0.35,0.8,2.5,490,0.5857142857142857,2.036664427890964,3242.670928571434,4242.670928571434
0.4,0.35,1.0,1.5,490,0.6448979591836734,2.113875037539231,3240.1089285714406,4240.108928571441
0.4,0.3,0.8,2.5,521,0.5700575815738963,1.9393119956524967,3239.6307142857195,4239.6307142857195
0.45,0.4,1.2,2.5,366,0.639344262295082,2.412242070887843,3234.5007857142937,4234.500785714294
0.35,0.4,1.5,1.5,454,0.6431718061674009,2.1306742758915997,3233.3742857142806,4233.374285714281
0.45,0.4,1.0,2.5,373,0.6246648793565683,2.3219109212420896,3228.483214285732,4228.483214285732
0.5,0.3,1.2,2.5,388,0.6494845360824743,2.305786695711821,3228.008428571444,4228.008428571444
0.35,0.3,0.8,2.5,552,0.5543478260869565,1.83117924959902,3226.119428571432,4226.119428571432
0.5,0.35,1.0,2.5,375,0.6426666666666667,2.3320148277996866,3222.925000000018,4222.9250000000175
0.35,0.3,0.8,2.0,559,0.5652951699463328,1.84810941223835,3215.8731428571455,4215.8731428571455
0.4,0.35,1.5,1.0,493,0.6957403651115619,2.18355163976131,3187.6896428571426,4187.689642857143
0.45,0.4,1.5,2.5,361,0.6509695290858726,2.3646929931216474,3176.801071428581,4176.801071428581
0.5,0.35,1.5,2.0,369,0.6747967479674797,2.4444688065327576,3171.6335714285906,4171.633571428591
0.45,0.4,1.2,2.0,375,0.64,2.3299344203234873,3168.3802857142905,4168.380285714291
0.4,0.35,1.2,1.0,504,0.6785714285714286,2.151182972219325,3167.6,4167.6
0.4,0.4,0.8,2.0,448,0.5825892857142857,2.107629904832407,3165.136,4165.136
0.4,0.3,1.0,1.5,515,0.6310679611650486,1.9804735404722404,3163.1582142857264,4163.158214285726
0.45,0.3,1.5,1.5,436,0.676605504587156,2.195505231498859,3160.35821428572,4160.358214285719
0.35,0.4,0.8,2.0,483,0.5631469979296067,1.9613050880337768,3147.3625714285704,4147.36257142857
0.45,0.35,1.2,1.5,423,0.6690307328605201,2.309013032689679,3145.9188571428685,4145.918857142869
0.5,0.3,1.5,2.0,389,0.6683804627249358,2.2729785155811433,3137.5860714285873,4137.586071428587
0.4,0.4,1.2,1.5,433,0.6374133949191686,2.2214045764775134,3126.9757857142863,4126.975785714287
0.35,0.3,1.0,1.5,546,0.6135531135531136,1.8462997889334045,3121.500000000005,4121.5000000000055
0.45,0.4,1.5,2.0,370,0.654054054054054,2.3138406584966997,3115.951428571435,4115.951428571435
0.45,0.3,1.2,1.5,443,0.6591422121896162,2.1685434645394284,3113.9610000000084,4113.961000000008
0.45,0.35,1.5,1.5,416,0.6826923076923077,2.2986501788699707,3112.4660714285837,4112.466071428584
0.4,0.4,1.5,1.5,425,0.6494117647058824,2.2126248810366445,3107.5803571428587,4107.580357142859
0.35,0.35,1.0,1.5,527,0.6242884250474383,1.8995718792901604,3104.9892857142904,4104.98928571429
0.5,0.35,1.2,2.0,375,0.656,2.3477450322111806,3102.0265714285906,4102.026571428591
0.45,0.35,0.8,2.5,430,0.5953488372093023,2.1228539932475443,3101.891214285724,4101.891214285724
0.5,0.4,1.2,2.5,329,0.6413373860182371,2.492469985607464,3087.221071428584,4087.221071428584
0.45,0.3,1.0,2.0,450,0.6222222222222222,2.034614184027231,3080.0678571428734,4080.0678571428734
0.5,0.4,1.5,2.5,325,0.6523076923076923,2.490041889758889,3078.1232142857293,4078.1232142857293
0.4,0.4,1.0,1.5,441,0.6281179138321995,2.1397045604799065,3074.7185714285815,4074.7185714285815
0.45,0.3,0.8,2.5,461,0.5748373101952278,1.9937910723852077,3065.6444285714374,4065.6444285714374
0.35,0.35,1.5,1.0,520,0.676923076923077,1.9979052354102285,3062.4467857142877,4062.4467857142877
0.45,0.4,1.0,2.0,379,0.6253298153034301,2.233334025034996,3056.6457142857266,4056.6457142857266
0.4,0.3,1.5,1.0,510,0.6882352941176471,2.024818554053004,3052.779285714286,4052.779285714286
0.5,0.3,1.0,2.5,401,0.6209476309226932,2.0966280649666884,3051.4435714285873,4051.4435714285873
0.4,0.3,1.2,1.0,522,0.6724137931034483,2.0093824961596973,3048.935000000001,4048.935000000001
0.35,0.35,1.2,1.0,538,0.6579925650557621,1.9552601107372882,3045.3528571428574,4045.3528571428574
0.35,0.4,0.8,2.5,480,0.5520833333333334,1.8946961709488688,3037.6670714285774,4037.6670714285774
0.5,0.4,1.0,2.5,334,0.6317365269461078,2.352318039821482,3028.9953571428764,4028.9953571428764
0.4,0.4,0.8,2.5,444,0.5720720720720721,2.0154906003593167,3022.2340714285774,4022.2340714285774
0.35,0.45,1.5,2.5,391,0.629156010230179,2.10968077224855,3006.8746428571503,4006.8746428571503
0.4,0.35,1.0,1.0,513,0.6588693957115009,2.027033122384705,3005.5742857142864,4005.5742857142864
0.45,0.35,0.8,2.0,440,0.6022727272727273,2.087198767995767,3004.6117142857247,4004.6117142857247
0.5,0.3,1.2,2.0,395,0.6481012658227848,2.170461446946811,2999.85657142859,3999.85657142859
0.5,0.35,0.8,2.5,387,0.6072351421188631,2.1988168945337296,2980.9534285714444,3980.9534285714444
0.35,0.4,1.0,1.5,480,0.6083333333333333,1.9244476477950796,2973.3696428571466,3973.3696428571466
0.35,0.3,1.2,1.0,553,0.6564195298372514,1.8683432992993372,2966.8891428571424,3966.8891428571424
0.35,0.45,1.5,2.0,398,0.6331658291457286,2.093690048925879,2962.865714285718,3962.865714285718
0.4,0.4,1.2,1.0,458,0.6615720524017468,2.13729169589164,2960.324142857136,3960.324142857136
0.35,0.3,1.5,1.0,536,0.6735074626865671,1.8899738732854343,2958.6800000000003,3958.6800000000003
0.5,0.35,1.0,2.0,380,0.6421052631578947,2.205323942251381,2957.1314285714484,3957.1314285714484
0.45,0.35,1.0,1.5,432,0.6481481481481481,2.120014803913278,2948.4485714285856,3948.4485714285856
0.4,0.4,1.5,1.0,447,0.6778523489932886,2.145772750714868,2937.357857142851,3937.357857142851
0.35,0.45,1.2,2.0,407,0.6167076167076168,2.0793638672187695,2931.844000000004,3931.844000000004
0.5,0.3,0.8,2.5,419,0.5823389021479713,2.03314014946531,2923.680357142872,3923.680357142872
0.45,0.35,1.5,1.0,431,0.7053364269141531,2.2314454101391976,2920.7950000000055,3920.7950000000055
0.45,0.3,0.8,2.0,471,0.5817409766454352,1.9404648578352728,2903.4251428571533,3903.4251428571533
0.4,0.45,1.5,2.0,372,0.6451612903225806,2.2185615630486937,2902.7167857142904,3902.7167857142904
0.45,0.4,1.2,1.5,378,0.6455026455026455,2.2692489079658635,2898.5590714285763,3898.5590714285763
0.5,0.4,1.5,2.0,329,0.6504559270516718,2.3726889672953213,2895.799642857156,3895.799642857156
0.45,0.3,1.0,1.5,457,0.6323851203501094,1.986667082083035,2895.3942857143,3895.3942857143
0.35,0.4,1.2,1.0,493,0.6450304259634888,1.9651994384948854,2890.586999999994,3890.586999999994
